Fecha,Actividades profesionales  técnicas,Administración pública,Salud y asistencia social
2000-03-01,203318.806920262,52582.734368388185,48905.8819342813
2000-06-01,242386.667911013,219741.122147156,50424.7603838468
2000-09-01,279573.417419807,313678.354632923,59192.9498609272
2000-12-01,306582.90851935,384530.78885153594,72897.4078209349
2001-03-01,344224.505118998,351886.42183394555,83652.7070377109
2001-06-01,371834.810582369,310397.9920937321,98143.8509879623
2001-09-01,394751.12926344,259392.34599937158,111806.503110266
2001-12-01,399774.981933809,273408.240072749,122422.938863984
2002-03-01,446316.543778492,330921.4707573458,122288.970824608
2002-06-01,474143.432788004,370160.3819136823,131552.487062408
2002-09-01,499549.864720053,389088.7039959526,147393.749199122
2002-12-01,515417.763434428,416775.44333299255,168406.792913873
2003-03-01,521403.879111317,445019.601199744,194621.161979893
2003-06-01,533908.83957037,468529.2196546546,203475.610511398
2003-09-01,547563.306970401,476913.71377663803,205676.806858077
2003-12-01,568156.835406072,494333.46536875895,193139.420650618
2004-03-01,555002.016140347,500331.5577061727,264004.255062296
2004-06-01,575905.42009633,513688.8062717645,227836.036380486
2004-09-01,583284.382222926,511598.9582311482,212100.699015531
2004-12-01,593731.053646009,525887.6777908002,216150.009541678
2005-03-01,604599.518679366,556848.0176622389,237432.516354937
2005-06-01,618177.27495631,548217.9258739382,255214.816163694
2005-09-01,630554.687851762,558631.3760449889,273044.950512952
2005-12-01,660617.902669386,576128.6804187674,284353.716968473
2006-03-01,663084.886211386,590192.8932110087,280110.736682094
2006-06-01,688772.805639868,601911.5326640442,283405.723122447
2006-09-01,712454.399511923,614673.4576534606,289951.666229276
2006-12-01,726391.046541306,670310.1164716182,298958.873966233
2007-03-01,765014.519884489,660207.9591774087,304284.033186827
2007-06-01,787135.293958566,675998.1590197835,317220.395578952
2007-09-01,847517.321491137,721441.0066489918,329348.25157414
2007-12-01,853542.102610437,726535.8751537608,351908.319660078
2008-03-01,876863.133451871,796628.6519465338,367946.341061089
2008-06-01,902850.631261372,894364.825041997,394362.740888724
2008-09-01,911547.24408962,958437.4306723941,407225.289403092
2008-12-01,961085.420165507,920907.5312700691,407458.23276908
2009-03-01,916836.975307694,955758.8633516658,428019.963994342
2009-06-01,916806.797679407,1064412.0308683116,426528.747272894
