Fecha,Agricultura  ganadería y silvicultura,Administración pública,Salud y asistencia social
2000-03-01,441331.1190377142,52582.734368388185,48905.8819342813
2000-06-01,454911.1899919602,219741.122147156,50424.7603838468
2000-09-01,453455.8048815179,313678.354632923,59192.9498609272
2000-12-01,458872.1149758478,384530.78885153594,72897.4078209349
2001-03-01,497457.95086212485,351886.42183394555,83652.7070377109
2001-06-01,518683.5009422412,310397.9920937321,98143.8509879623
2001-09-01,534044.5218667756,259392.34599937158,111806.503110266
2001-12-01,540116.3308909645,273408.240072749,122422.938863984
2002-03-01,531604.7756605055,330921.4707573458,122288.970824608
2002-06-01,550493.659308375,370160.3819136823,131552.487062408
2002-09-01,564560.2420208163,389088.7039959526,147393.749199122
2002-12-01,574443.6873770843,416775.44333299255,168406.792913873
2003-03-01,590056.7632833984,445019.601199744,194621.161979893
2003-06-01,593554.3747934297,468529.2196546546,203475.610511398
2003-09-01,613251.5154759109,476913.71377663803,205676.806858077
2003-12-01,619041.2090361464,494333.46536875895,193139.420650618
2004-03-01,590171.1266169639,500331.5577061727,264004.255062296
2004-06-01,609827.4999980553,513688.8062717645,227836.036380486
2004-09-01,598261.889827617,511598.9582311482,212100.699015531
2004-12-01,611905.940987339,525887.6777908002,216150.009541678
2005-03-01,625026.0862980157,556848.0176622389,237432.516354937
2005-06-01,629585.3437417416,548217.9258739382,255214.816163694
2005-09-01,635388.0618924862,558631.3760449889,273044.950512952
2005-12-01,677204.2638763213,576128.6804187674,284353.716968473
2006-03-01,712882.9253260903,590192.8932110087,280110.736682094
2006-06-01,693586.563727602,601911.5326640442,283405.723122447
2006-09-01,722045.5122928631,614673.4576534606,289951.666229276
2006-12-01,756259.3721854961,670310.1164716182,298958.873966233
2007-03-01,759704.7186088278,660207.9591774087,304284.033186827
2007-06-01,793653.8149722836,675998.1590197835,317220.395578952
2007-09-01,821770.8947217236,721441.0066489918,329348.25157414
2007-12-01,840046.717448152,726535.8751537608,351908.319660078
2008-03-01,889358.1779853795,796628.6519465338,367946.341061089
2008-06-01,929402.6467494089,894364.825041997,394362.740888724
2008-09-01,985786.3425014568,958437.4306723941,407225.289403092
2008-12-01,959020.5363025098,920907.5312700691,407458.23276908
2009-03-01,1032803.2616858196,955758.8633516658,428019.963994342
2009-06-01,1120953.537492956,1064412.0308683116,426528.747272894
2009-09-01,1178316.2882111305,1119719.5910389074,444393.050501687
2009-12-01,1207582.4328088206,1197580.9178599946,448492.398902035
2010-03-01,1263283.4245744941,1169604.7391717664,485161.545710052
2010-06-01,1242803.3621193313,1137188.9041693236,484675.376719535
2010-09-01,1201544.3700940209,1166797.8729171357,506754.30691937
2010-12-01,1253806.4771266698,1227410.7123623719,538726.51372884
2011-03-01,1238306.954331636,1196485.5347003487,536952.517354066
2011-06-01,1308464.9277075347,1341978.4465468575,555005.834287488
2011-09-01,1361981.4890862375,1330799.2801696341,565748.513859406
2011-12-01,1399379.9346876924,1384887.9014895426,592407.51092425
2012-03-01,1257642.7244426606,1412486.3313612645,604691.053609309
2012-06-01,1263506.3363418335,1422471.8674704821,631911.471614488
2012-09-01,1266486.1135338997,1457087.590776353,659233.682524576
2012-12-01,1276686.7351638633,1539727.5147041585,743146.356696499
2013-03-01,1332192.551952203,1569192.4958537316,715227.754079296
2013-06-01,1344854.6870929634,1602214.5199561375,753524.844696902
2013-09-01,1410578.092425179,1647337.841591684,773111.669100159
2013-12-01,1470601.0721930922,1673087.7214898758,786039.350672294
2014-03-01,1521601.9242785708,1740621.9621564886,730744.16514714
2014-06-01,1582846.36638155,1759658.2398450586,881342.23282678
