Fecha,Construcción,Administración pública,Salud y asistencia social
2000-03-01,69262.7115070856,52582.734368388185,48905.8819342813
2000-06-01,86267.2315987112,219741.122147156,50424.7603838468
2000-09-01,96347.7179102499,313678.354632923,59192.9498609272
2000-12-01,104045.363882814,384530.78885153594,72897.4078209349
2001-03-01,121948.231416688,351886.42183394555,83652.7070377109
2001-06-01,135090.606655999,310397.9920937321,98143.8509879623
2001-09-01,146731.70123455,259392.34599937158,111806.503110266
2001-12-01,152569.863032669,273408.240072749,122422.938863984
2002-03-01,155407.718872849,330921.4707573458,122288.970824608
2002-06-01,162651.130170435,370160.3819136823,131552.487062408
2002-09-01,175762.784612904,389088.7039959526,147393.749199122
2002-12-01,186420.767345455,416775.44333299255,168406.792913873
2003-03-01,188596.766828695,445019.601199744,194621.161979893
2003-06-01,183514.26816411,468529.2196546546,203475.610511398
2003-09-01,182798.667260931,476913.71377663803,205676.806858077
2003-12-01,189916.288072209,494333.46536875895,193139.420650618
2004-03-01,211423.24061589,500331.5577061727,264004.255062296
2004-06-01,234273.594911111,513688.8062717645,227836.036380486
2004-09-01,243953.978684087,511598.9582311482,212100.699015531
2004-12-01,259163.292180673,525887.6777908002,216150.009541678
2005-03-01,262622.504189139,556848.0176622389,237432.516354937
2005-06-01,279971.514765842,548217.9258739382,255214.816163694
2005-09-01,298362.011002973,558631.3760449889,273044.950512952
2005-12-01,308179.223431002,576128.6804187674,284353.716968473
2006-03-01,330148.815948717,590192.8932110087,280110.736682094
2006-06-01,355529.466985567,601911.5326640442,283405.723122447
2006-09-01,374156.623262874,614673.4576534606,289951.666229276
2006-12-01,369472.337978139,670310.1164716182,298958.873966233
2007-03-01,379334.467825517,660207.9591774087,304284.033186827
2007-06-01,391249.28886977,675998.1590197835,317220.395578952
2007-09-01,392050.812731348,721441.0066489918,329348.25157414
2007-12-01,415019.562755252,726535.8751537608,351908.319660078
2008-03-01,449556.266038047,796628.6519465338,367946.341061089
2008-06-01,499282.768898821,894364.825041997,394362.740888724
2008-09-01,576257.395729179,958437.4306723941,407225.289403092
2008-12-01,593661.129532811,920907.5312700691,407458.23276908
2009-03-01,584916.209766296,955758.8633516658,428019.963994342
2009-06-01,580837.487925229,1064412.0308683116,426528.747272894
2009-09-01,579254.373525366,1119719.5910389074,444393.050501687
2009-12-01,583267.034074142,1197580.9178599946,448492.398902035
2010-03-01,581359.071241299,1169604.7391717664,485161.545710052
2010-06-01,594044.719022448,1137188.9041693236,484675.376719535
2010-09-01,621398.69640873,1166797.8729171357,506754.30691937
2010-12-01,675955.284792745,1227410.7123623719,538726.51372884
