Fecha,Explotación de minas y canteras,Administración pública,Salud y asistencia social
2000-03-01,306775.64271621895,52582.734368388185,48905.8819342813
2000-06-01,322860.4186113348,219741.122147156,50424.7603838468
2000-09-01,365259.97560841014,313678.354632923,59192.9498609272
2000-12-01,348425.63308515464,384530.78885153594,72897.4078209349
2001-03-01,225836.19659500156,351886.42183394555,83652.7070377109
2001-06-01,238294.32273913198,310397.9920937321,98143.8509879623
2001-09-01,254777.46940887056,259392.34599937158,111806.503110266
2001-12-01,183524.98612093832,273408.240072749,122422.938863984
2002-03-01,217209.29069724775,330921.4707573458,122288.970824608
2002-06-01,291321.52508946764,370160.3819136823,131552.487062408
2002-09-01,326811.15018335637,389088.7039959526,147393.749199122
2002-12-01,300439.33263281966,416775.44333299255,168406.792913873
2003-03-01,459503.7773933844,445019.601199744,194621.161979893
2003-06-01,336990.69194014237,468529.2196546546,203475.610511398
2003-09-01,455442.65515671833,476913.71377663803,205676.806858077
2003-12-01,530799.0524135822,494333.46536875895,193139.420650618
2004-03-01,712464.0737285825,500331.5577061727,264004.255062296
2004-06-01,804740.8981873593,513688.8062717645,227836.036380486
2004-09-01,943735.5965768632,511598.9582311482,212100.699015531
2004-12-01,857673.4995932528,525887.6777908002,216150.009541678
2005-03-01,1108167.7659290978,556848.0176622389,237432.516354937
2005-06-01,1255457.367334963,548217.9258739382,255214.816163694
2005-09-01,1570698.480589596,558631.3760449889,273044.950512952
2005-12-01,1410808.6906535304,576128.6804187674,284353.716968473
2006-03-01,1752310.1243188977,590192.8932110087,280110.736682094
2006-06-01,2076873.9483759792,601911.5326640442,283405.723122447
2006-09-01,2122135.4455258334,614673.4576534606,289951.666229276
2006-12-01,1579775.9821390118,670310.1164716182,298958.873966233
2007-03-01,1521150.2620918076,660207.9591774087,304284.033186827
2007-06-01,2006248.8346681516,675998.1590197835,317220.395578952
2007-09-01,2234708.106816211,721441.0066489918,329348.25157414
2007-12-01,2698938.7029727455,726535.8751537608,351908.319660078
2008-03-01,3122791.42888614,796628.6519465338,367946.341061089
2008-06-01,3912855.4906113707,894364.825041997,394362.740888724
2008-09-01,3803624.9140900983,958437.4306723941,407225.289403092
2008-12-01,1829181.6592137015,920907.5312700691,407458.23276908
2009-03-01,1158475.2861582038,955758.8633516658,428019.963994342
2009-06-01,1768682.9305996273,1064412.0308683116,426528.747272894
2009-09-01,2089968.7943528534,1119719.5910389074,444393.050501687
2009-12-01,2195347.526475174,1197580.9178599946,448492.398902035
2010-03-01,2621101.6408514082,1169604.7391717664,485161.545710052
2010-06-01,2671573.0703951833,1137188.9041693236,484675.376719535
2010-09-01,2583654.8341132444,1166797.8729171357,506754.30691937
2010-12-01,2853466.877114216,1227410.7123623719,538726.51372884
2011-03-01,3447786.6790649015,1196485.5347003487,536952.517354066
2011-06-01,3843580.390206791,1341978.4465468575,555005.834287488
2011-09-01,3590292.0815069587,1330799.2801696341,565748.513859406
2011-12-01,3934284.2749939505,1384887.9014895426,592407.51092425
2012-03-01,4180413.0615238342,1412486.3313612645,604691.053609309
2012-06-01,4018529.225306605,1422471.8674704821,631911.471614488
2012-09-01,4145471.4563135775,1457087.590776353,659233.682524576
2012-12-01,3742936.9443325177,1539727.5147041585,743146.356696499
2013-03-01,4160292.0328205004,1569192.4958537316,715227.754079296
2013-06-01,4093764.9643754438,1602214.5199561375,753524.844696902
2013-09-01,4485167.085399791,1647337.841591684,773111.669100159
2013-12-01,4003341.078543217,1673087.7214898758,786039.350672294
2014-03-01,4098310.7065449213,1740621.9621564886,730744.16514714
2014-06-01,4326852.408016849,1759658.2398450586,881342.23282678
2014-09-01,4258641.095921777,1862772.2528738428,834297.302776168
2014-12-01,3188884.630032905,1890153.0984154642,843911.686854558
2015-03-01,1663975.4799616134,1792503.7023781668,844763.124243879
2015-06-01,1893532.3354595073,1814171.1643667854,851106.790042916
