Fecha,Impuestos Netos Sobre los Productos,Administración pública,Salud y asistencia social
2000-03-01,192345.972781417,52582.734368388185,48905.8819342813
2000-06-01,226925.117702303,219741.122147156,50424.7603838468
2000-09-01,295999.468152529,313678.354632923,59192.9498609272
2000-12-01,330703.44136375,384530.78885153594,72897.4078209349
2001-03-01,431643.392209011,351886.42183394555,83652.7070377109
2001-06-01,487368.353737895,310397.9920937321,98143.8509879623
2001-09-01,500399.08466339,259392.34599937158,111806.503110266
2001-12-01,516714.169389703,273408.240072749,122422.938863984
2002-03-01,550984.45165411,330921.4707573458,122288.970824608
2002-06-01,578835.337199423,370160.3819136823,131552.487062408
2002-09-01,585776.515302731,389088.7039959526,147393.749199122
2002-12-01,593506.695843735,416775.44333299255,168406.792913873
2003-03-01,568755.725338813,445019.601199744,194621.161979893
2003-06-01,564208.000040124,468529.2196546546,203475.610511398
2003-09-01,561995.30193397,476913.71377663803,205676.806858077
2003-12-01,566646.972687092,494333.46536875895,193139.420650618
2004-03-01,561132.348989948,500331.5577061727,264004.255062296
2004-06-01,570669.86405091,513688.8062717645,227836.036380486
2004-09-01,596915.311820341,511598.9582311482,212100.699015531
2004-12-01,664778.475138801,525887.6777908002,216150.009541678
2005-03-01,557832.51869405,556848.0176622389,237432.516354937
2005-06-01,600792.814766133,548217.9258739382,255214.816163694
2005-09-01,615014.33549907,558631.3760449889,273044.950512952
2005-12-01,528301.331040748,576128.6804187674,284353.716968473
2006-03-01,560627.571688004,590192.8932110087,280110.736682094
2006-06-01,575686.687080793,601911.5326640442,283405.723122447
2006-09-01,571538.397770329,614673.4576534606,289951.666229276
2006-12-01,597044.343460872,670310.1164716182,298958.873966233
2007-03-01,624228.917522304,660207.9591774087,304284.033186827
2007-06-01,619159.828306368,675998.1590197835,317220.395578952
2007-09-01,651700.337301296,721441.0066489918,329348.25157414
2007-12-01,601784.916870034,726535.8751537608,351908.319660078
2008-03-01,501298.006582005,796628.6519465338,367946.341061089
2008-06-01,564303.659973426,894364.825041997,394362.740888724
2008-09-01,395165.650915497,958437.4306723941,407225.289403092
2008-12-01,704140.438449241,920907.5312700691,407458.23276908
2009-03-01,925314.095117663,955758.8633516658,428019.963994342
2009-06-01,901936.050770091,1064412.0308683116,426528.747272894
2009-09-01,750751.523904747,1119719.5910389074,444393.050501687
2009-12-01,781510.487460797,1197580.9178599946,448492.398902035
2010-03-01,684829.856998761,1169604.7391717664,485161.545710052
2010-06-01,671387.213667589,1137188.9041693236,484675.376719535
2010-09-01,751412.298824361,1166797.8729171357,506754.30691937
2010-12-01,758265.326578782,1227410.7123623719,538726.51372884
2011-03-01,675219.942546076,1196485.5347003487,536952.517354066
2011-06-01,638988.298956966,1341978.4465468575,555005.834287488
2011-09-01,617526.248252232,1330799.2801696341,565748.513859406
2011-12-01,583905.663829761,1384887.9014895426,592407.51092425
2012-03-01,919622.408722697,1412486.3313612645,604691.053609309
2012-06-01,933110.809795445,1422471.8674704821,631911.471614488
2012-09-01,907954.168754418,1457087.590776353,659233.682524576
2012-12-01,894875.468622779,1539727.5147041585,743146.356696499
2013-03-01,1000998.38046638,1569192.4958537316,715227.754079296
2013-06-01,995126.966305222,1602214.5199561375,753524.844696902
2013-09-01,1013186.19996553,1647337.841591684,773111.669100159
2013-12-01,1032732.37344081,1673087.7214898758,786039.350672294
2014-03-01,973627.848555763,1740621.9621564886,730744.16514714
2014-06-01,1033458.42558273,1759658.2398450586,881342.23282678
2014-09-01,1051137.38467166,1862772.2528738428,834297.302776168
2014-12-01,1101236.44534589,1890153.0984154642,843911.686854558
2015-03-01,1584611.9562517,1792503.7023781668,844763.124243879
2015-06-01,1549770.12715102,1814171.1643667854,851106.790042916
2015-09-01,1493326.71864318,1830193.7106284346,883759.076883116
