Fecha,Información y comunicación,Administración pública,Salud y asistencia social
2000-03-01,65204.3342090931,52582.734368388185,48905.8819342813
2000-06-01,63452.1204751813,219741.122147156,50424.7603838468
2000-09-01,66827.6963626539,313678.354632923,59192.9498609272
2000-12-01,56679.051682321,384530.78885153594,72897.4078209349
2001-03-01,130882.981057236,351886.42183394555,83652.7070377109
2001-06-01,139404.197001086,310397.9920937321,98143.8509879623
2001-09-01,146277.495224457,259392.34599937158,111806.503110266
2001-12-01,154120.874691341,273408.240072749,122422.938863984
2002-03-01,156708.571669414,330921.4707573458,122288.970824608
2002-06-01,161793.416310159,370160.3819136823,131552.487062408
2002-09-01,171853.367703876,389088.7039959526,147393.749199122
2002-12-01,179376.961466338,416775.44333299255,168406.792913873
2003-03-01,192891.928177453,445019.601199744,194621.161979893
2003-06-01,201204.594600308,468529.2196546546,203475.610511398
2003-09-01,206125.288462981,476913.71377663803,205676.806858077
2003-12-01,196848.657844076,494333.46536875895,193139.420650618
2004-03-01,232791.513922343,500331.5577061727,264004.255062296
2004-06-01,221203.938488088,513688.8062717645,227836.036380486
2004-09-01,222295.284825926,511598.9582311482,212100.699015531
2004-12-01,228975.804946691,525887.6777908002,216150.009541678
2005-03-01,255948.960595422,556848.0176622389,237432.516354937
2005-06-01,274974.995939469,548217.9258739382,255214.816163694
2005-09-01,287461.496174911,558631.3760449889,273044.950512952
2005-12-01,288921.725827117,576128.6804187674,284353.716968473
2006-03-01,274916.09537467,590192.8932110087,280110.736682094
2006-06-01,276347.612782886,601911.5326640442,283405.723122447
2006-09-01,279354.740789944,614673.4576534606,289951.666229276
2006-12-01,277647.612802744,670310.1164716182,298958.873966233
2007-03-01,284432.457274907,660207.9591774087,304284.033186827
2007-06-01,294515.505494722,675998.1590197835,317220.395578952
2007-09-01,302680.846734645,721441.0066489918,329348.25157414
2007-12-01,312330.82730265,726535.8751537608,351908.319660078
2008-03-01,326202.407141341,796628.6519465338,367946.341061089
2008-06-01,346056.684377862,894364.825041997,394362.740888724
2008-09-01,364039.72723111,958437.4306723941,407225.289403092
2008-12-01,375888.441910249,920907.5312700691,407458.23276908
2009-03-01,382120.758328224,955758.8633516658,428019.963994342
2009-06-01,385132.080689523,1064412.0308683116,426528.747272894
2009-09-01,394741.882607046,1119719.5910389074,444393.050501687
2009-12-01,376679.493903271,1197580.9178599946,448492.398902035
2010-03-01,400593.029873502,1169604.7391717664,485161.545710052
2010-06-01,419299.068677096,1137188.9041693236,484675.376719535
2010-09-01,442617.421706074,1166797.8729171357,506754.30691937
2010-12-01,467763.374865948,1227410.7123623719,538726.51372884
2011-03-01,473892.605795991,1196485.5347003487,536952.517354066
2011-06-01,480482.607972505,1341978.4465468575,555005.834287488
2011-09-01,482535.067327972,1330799.2801696341,565748.513859406
2011-12-01,486371.481617045,1384887.9014895426,592407.51092425
2012-03-01,499332.452473233,1412486.3313612645,604691.053609309
2012-06-01,512988.181799424,1422471.8674704821,631911.471614488
2012-09-01,528116.256064453,1457087.590776353,659233.682524576
2012-12-01,546748.413509497,1539727.5147041585,743146.356696499
2013-03-01,549746.614115799,1569192.4958537316,715227.754079296
2013-06-01,555767.163462477,1602214.5199561375,753524.844696902
2013-09-01,564640.802130326,1647337.841591684,773111.669100159
2013-12-01,577921.225619106,1673087.7214898758,786039.350672294
2014-03-01,592915.63178328,1740621.9621564886,730744.16514714
2014-06-01,610046.905697331,1759658.2398450586,881342.23282678
2014-09-01,617532.177041911,1862772.2528738428,834297.302776168
2014-12-01,617140.867391883,1890153.0984154642,843911.686854558
2015-03-01,582763.264626635,1792503.7023781668,844763.124243879
2015-06-01,582932.410611387,1814171.1643667854,851106.790042916
2015-09-01,586989.628765723,1830193.7106284346,883759.076883116
2015-12-01,594630.090521898,1877422.0362994443,878302.911687535
2016-03-01,581244.575430101,1858991.9993585383,926547.772033765
2016-06-01,582719.430205233,1901063.5696609947,912650.468084897
2016-09-01,584201.143640467,1931121.4788029564,901464.28067809
2016-12-01,596242.106814325,1959660.107555389,907138.249040143
2017-03-01,603167.091195195,1978568.23584175,928908.761988919
2017-06-01,603241.512348512,1986121.229643496,956411.71764276
2017-09-01,603792.648275408,1977319.1800576032,987666.475899803
2017-12-01,619431.289719876,1998538.5942405397,997670.971469276
2018-03-01,635518.273429235,2006153.2726739123,1008908.47117121
2018-06-01,654000.246226037,2005849.8614758207,1021057.18560754
2018-09-01,655022.642042311,1999934.9144016658,1032739.39253141
2018-12-01,622460.838302256,2008063.9514485616,1048450.95068965
2019-03-01,611022.095278722,2017813.0746553391,1055135.88053867
2019-06-01,597997.397814085,1988215.7439733297,1061119.58398035
2019-09-01,594572.640087021,1986049.654726375,1059270.15024377
2019-12-01,682378.866820256,2011076.526645176,1062238.38523717
2020-03-01,608304.322549275,2012076.8118946478,1058294.41518548
2020-06-01,525180.901967171,1999477.5482703596,1046062.7212043
2020-09-01,590170.028787939,1978512.2847783994,1052638.79597818
2020-12-01,586536.746695812,1965174.3550549299,1056827.06763209
2021-03-01,572328.982635448,1935139.4295455813,1061529.68738215
2021-06-01,578317.384181479,1939732.1650710404,1078593.77941849
2021-09-01,572083.159974539,1948417.1912675798,1093205.19365749
2021-12-01,569265.47320848,1964369.2141156793,1105324.33954177
2022-03-01,593281.26296114,1965262.1058399677,1114314.29396219
2022-06-01,598490.133184303,2008398.975162387,1120291.99335992
2022-09-01,617987.163536301,2041547.303857565,1129490.72479349
2022-12-01,621315.440318672,2154592.615139246,1152793.98788421
2023-03-01,637890.618834817,2182586.098807335,1157312.00114678
2023-06-01,631474.279921187,2184091.52227664,1183599.76094609
2023-09-01,628808.870988902,2196584.149964094,1191200.50449444
2023-12-01,609472.182490734,2201073.858253956,1197065.82771963
