Fecha,Pesca y acuicultura,Administración pública,Salud y asistencia social
2000-03-01,93751.0505692182,52582.734368388185,48905.8819342813
2000-06-01,91650.5149478377,219741.122147156,50424.7603838468
2000-09-01,86157.2058649517,313678.354632923,59192.9498609272
2000-12-01,93882.4314779531,384530.78885153594,72897.4078209349
2001-03-01,83457.1364813349,351886.42183394555,83652.7070377109
2001-06-01,83412.5971186364,310397.9920937321,98143.8509879623
2001-09-01,82634.3625102174,259392.34599937158,111806.503110266
2001-12-01,81629.993826996,273408.240072749,122422.938863984
2002-03-01,81288.597495908,330921.4707573458,122288.970824608
2002-06-01,81759.2271623854,370160.3819136823,131552.487062408
2002-09-01,81578.6321884417,389088.7039959526,147393.749199122
2002-12-01,86563.633274769,416775.44333299255,168406.792913873
2003-03-01,101831.032405474,445019.601199744,194621.161979893
2003-06-01,95281.3327954474,468529.2196546546,203475.610511398
2003-09-01,95869.0936619177,476913.71377663803,205676.806858077
2003-12-01,93505.8132709141,494333.46536875895,193139.420650618
2004-03-01,92573.8118341296,500331.5577061727,264004.255062296
2004-06-01,95353.7327614534,513688.8062717645,227836.036380486
2004-09-01,98753.8913306831,511598.9582311482,212100.699015531
2004-12-01,107808.862549673,525887.6777908002,216150.009541678
2005-03-01,121586.702049589,556848.0176622389,237432.516354937
2005-06-01,123083.075975193,548217.9258739382,255214.816163694
2005-09-01,148896.09568257,558631.3760449889,273044.950512952
2005-12-01,151305.919753381,576128.6804187674,284353.716968473
2006-03-01,156732.067155287,590192.8932110087,280110.736682094
2006-06-01,166200.26071313,601911.5326640442,283405.723122447
2006-09-01,163470.714603641,614673.4576534606,289951.666229276
2006-12-01,156002.072022456,670310.1164716182,298958.873966233
2007-03-01,142267.959366771,660207.9591774087,304284.033186827
2007-06-01,147030.987521065,675998.1590197835,317220.395578952
2007-09-01,149049.211636987,721441.0066489918,329348.25157414
2007-12-01,159101.807998518,726535.8751537608,351908.319660078
2008-03-01,169883.91361268,796628.6519465338,367946.341061089
2008-06-01,180961.337312763,894364.825041997,394362.740888724
2008-09-01,193695.838609606,958437.4306723941,407225.289403092
2008-12-01,185257.585416073,920907.5312700691,407458.23276908
2009-03-01,165144.879326202,955758.8633516658,428019.963994342
2009-06-01,154003.631333744,1064412.0308683116,426528.747272894
2009-09-01,153082.798676816,1119719.5910389074,444393.050501687
2009-12-01,163646.251820531,1197580.9178599946,448492.398902035
2010-03-01,176487.716581291,1169604.7391717664,485161.545710052
2010-06-01,177317.561922333,1137188.9041693236,484675.376719535
2010-09-01,174597.282465072,1166797.8729171357,506754.30691937
2010-12-01,187310.342371162,1227410.7123623719,538726.51372884
