Fecha,Refinados de petroleo,Administración pública,Salud y asistencia social
2000-03-01,127354.39002651465,52582.734368388185,48905.8819342813
2000-06-01,147918.53029040064,219741.122147156,50424.7603838468
2000-09-01,233851.04310729282,313678.354632923,59192.9498609272
2000-12-01,236725.03657587036,384530.78885153594,72897.4078209349
2001-03-01,187637.5698998724,351886.42183394555,83652.7070377109
2001-06-01,165967.84790021053,310397.9920937321,98143.8509879623
2001-09-01,172461.4705692679,259392.34599937158,111806.503110266
2001-12-01,178703.11163052535,273408.240072749,122422.938863984
2002-03-01,203585.18137270937,330921.4707573458,122288.970824608
2002-06-01,197668.5918463478,370160.3819136823,131552.487062408
2002-09-01,222788.12425869584,389088.7039959526,147393.749199122
2002-12-01,215816.10252223143,416775.44333299255,168406.792913873
2003-03-01,232698.40465803954,445019.601199744,194621.161979893
2003-06-01,212224.45561529114,468529.2196546546,203475.610511398
2003-09-01,228700.4443597764,476913.71377663803,205676.806858077
2003-12-01,241666.6953668983,494333.46536875895,193139.420650618
2004-03-01,217908.29044908934,500331.5577061727,264004.255062296
2004-06-01,218262.66723603237,513688.8062717645,227836.036380486
2004-09-01,234706.69993455923,511598.9582311482,212100.699015531
2004-12-01,232895.3423801417,525887.6777908002,216150.009541678
2005-03-01,177973.24101179908,556848.0176622389,237432.516354937
2005-06-01,174038.77348889975,548217.9258739382,255214.816163694
2005-09-01,187879.22457327342,558631.3760449889,273044.950512952
2005-12-01,187646.7609259163,576128.6804187674,284353.716968473
2006-03-01,149245.88494620498,590192.8932110087,280110.736682094
2006-06-01,160926.11622638465,601911.5326640442,283405.723122447
2006-09-01,170494.6520144845,614673.4576534606,289951.666229276
2006-12-01,163345.34681307027,670310.1164716182,298958.873966233
2007-03-01,199421.08383057726,660207.9591774087,304284.033186827
2007-06-01,190646.53344006292,675998.1590197835,317220.395578952
2007-09-01,255526.2365983267,721441.0066489918,329348.25157414
2007-12-01,281224.14613098174,726535.8751537608,351908.319660078
2008-03-01,246786.81826387564,796628.6519465338,367946.341061089
2008-06-01,252844.89038221736,894364.825041997,394362.740888724
2008-09-01,307864.26190891484,958437.4306723941,407225.289403092
2008-12-01,226639.85194312152,920907.5312700691,407458.23276908
2009-03-01,269585.1433675821,955758.8633516658,428019.963994342
