Fecha,Suministro de electricidad y agua,Administración pública,Salud y asistencia social
2000-03-01,21560.8830301337,52582.734368388185,48905.8819342813
2000-06-01,35108.8381060987,219741.122147156,50424.7603838468
2000-09-01,60561.1974997718,313678.354632923,59192.9498609272
2000-12-01,68704.1319617299,384530.78885153594,72897.4078209349
2001-03-01,88921.2466892176,351886.42183394555,83652.7070377109
2001-06-01,95247.5520414327,310397.9920937321,98143.8509879623
2001-09-01,101852.769034088,259392.34599937158,111806.503110266
2001-12-01,113822.573586851,273408.240072749,122422.938863984
2002-03-01,147202.528331199,330921.4707573458,122288.970824608
2002-06-01,165812.907077676,370160.3819136823,131552.487062408
2002-09-01,166665.155118791,389088.7039959526,147393.749199122
2002-12-01,167486.273650463,416775.44333299255,168406.792913873
2003-03-01,154975.449725788,445019.601199744,194621.161979893
2003-06-01,159468.252532558,468529.2196546546,203475.610511398
2003-09-01,161730.043292936,476913.71377663803,205676.806858077
2003-12-01,164254.369836988,494333.46536875895,193139.420650618
2004-03-01,147328.192995483,500331.5577061727,264004.255062296
2004-06-01,139776.762087136,513688.8062717645,227836.036380486
2004-09-01,141274.04498487,511598.9582311482,212100.699015531
2004-12-01,141752.078259013,525887.6777908002,216150.009541678
2005-03-01,134425.490040205,556848.0176622389,237432.516354937
2005-06-01,130800.953185557,548217.9258739382,255214.816163694
2005-09-01,129320.649600455,558631.3760449889,273044.950512952
2005-12-01,128033.237559299,576128.6804187674,284353.716968473
2006-03-01,127504.306507316,590192.8932110087,280110.736682094
2006-06-01,127517.360919873,601911.5326640442,283405.723122447
2006-09-01,130200.618184859,614673.4576534606,289951.666229276
2006-12-01,132914.406194346,670310.1164716182,298958.873966233
2007-03-01,147225.065264471,660207.9591774087,304284.033186827
2007-06-01,144619.881970674,675998.1590197835,317220.395578952
2007-09-01,145419.989641147,721441.0066489918,329348.25157414
2007-12-01,150671.819308664,726535.8751537608,351908.319660078
2008-03-01,162234.062708174,796628.6519465338,367946.341061089
2008-06-01,158216.163275554,894364.825041997,394362.740888724
2008-09-01,157917.710654546,958437.4306723941,407225.289403092
2008-12-01,158048.603707986,920907.5312700691,407458.23276908
2009-03-01,155905.456978139,955758.8633516658,428019.963994342
2009-06-01,155887.363178774,1064412.0308683116,426528.747272894
2009-09-01,151142.905358566,1119719.5910389074,444393.050501687
2009-12-01,83169.6697191922,1197580.9178599946,448492.398902035
2010-03-01,165415.124194991,1169604.7391717664,485161.545710052
2010-06-01,182054.825641521,1137188.9041693236,484675.376719535
2010-09-01,205687.501873879,1166797.8729171357,506754.30691937
2010-12-01,208810.622719368,1227410.7123623719,538726.51372884
2011-03-01,209010.464286259,1196485.5347003487,536952.517354066
2011-06-01,223861.854149565,1341978.4465468575,555005.834287488
2011-09-01,245319.405391702,1330799.2801696341,565748.513859406
2011-12-01,261186.222506652,1384887.9014895426,592407.51092425
2012-03-01,276532.226300968,1412486.3313612645,604691.053609309
2012-06-01,271907.878285057,1422471.8674704821,631911.471614488
2012-09-01,252566.567075528,1457087.590776353,659233.682524576
2012-12-01,260813.239865863,1539727.5147041585,743146.356696499
2013-03-01,285116.337823989,1569192.4958537316,715227.754079296
2013-06-01,240957.71573154,1602214.5199561375,753524.844696902
2013-09-01,288228.458669312,1647337.841591684,773111.669100159
2013-12-01,269329.96490231,1673087.7214898758,786039.350672294
2014-03-01,260051.140654507,1740621.9621564886,730744.16514714
2014-06-01,320332.513659487,1759658.2398450586,881342.23282678
2014-09-01,332394.850315446,1862772.2528738428,834297.302776168
2014-12-01,364039.922803243,1890153.0984154642,843911.686854558
2015-03-01,360599.003961652,1792503.7023781668,844763.124243879
2015-06-01,377849.333118494,1814171.1643667854,851106.790042916
2015-09-01,393634.576550218,1830193.7106284346,883759.076883116
2015-12-01,408821.95583199,1877422.0362994443,878302.911687535
2016-03-01,427674.077084138,1858991.9993585383,926547.772033765
2016-06-01,432203.151264264,1901063.5696609947,912650.468084897
2016-09-01,437913.740326403,1931121.4788029564,901464.28067809
2016-12-01,427171.878192132,1959660.107555389,907138.249040143
2017-03-01,485955.979785367,1978568.23584175,928908.761988919
2017-06-01,474074.298834814,1986121.229643496,956411.71764276
2017-09-01,458791.61797209,1977319.1800576032,987666.475899803
2017-12-01,454663.430569061,1998538.5942405397,997670.971469276
2018-03-01,441087.756756129,2006153.2726739123,1008908.47117121
2018-06-01,442590.855694788,2005849.8614758207,1021057.18560754
2018-09-01,440941.69791339,1999934.9144016658,1032739.39253141
2018-12-01,433774.689635694,2008063.9514485616,1048450.95068965
2019-03-01,501713.930832453,2017813.0746553391,1055135.88053867
2019-06-01,501739.115041391,1988215.7439733297,1061119.58398035
2019-09-01,499056.311044527,1986049.654726375,1059270.15024377
2019-12-01,494536.643081301,2011076.526645176,1062238.38523717
2020-03-01,492556.600854062,2012076.8118946478,1058294.41518548
2020-06-01,430849.873827683,1999477.5482703596,1046062.7212043
2020-09-01,443118.299456992,1978512.2847783994,1052638.79597818
2020-12-01,467140.225861109,1965174.3550549299,1056827.06763209
2021-03-01,494205.376392116,1935139.4295455813,1061529.68738215
2021-06-01,492062.898478779,1939732.1650710404,1078593.77941849
2021-09-01,499742.173499244,1948417.1912675798,1093205.19365749
2021-12-01,511065.551629919,1964369.2141156793,1105324.33954177
2022-03-01,503220.027611108,1965262.1058399677,1114314.29396219
2022-06-01,520120.343208357,2008398.975162387,1120291.99335992
2022-09-01,537590.552407543,2041547.303857565,1129490.72479349
2022-12-01,509340.076773053,2154592.615139246,1152793.98788421
2023-03-01,545501.314769997,2182586.098807335,1157312.00114678
2023-06-01,568206.337874458,2184091.52227664,1183599.76094609
2023-09-01,572106.678022452,2196584.149964094,1191200.50449444
